Species;Treatment;Treatment number;Fruit_set;seed_set
SOME;PEIN 100%;9;0;0
SOME;PEIN 100%;10;0;0
SOME;PEIN 50%;1;1;477
SOME;PEIN 50%;2;1;608
SOME;PEIN 50%;3;1;196
SOME;PEIN 50%;4;1;210
SOME;PEIN 50%;5;1;347
SOME;PEIN 50%;6;1;540
SOME;PEIN 50%;7;1;1104
SOME;PEIN 50%;8;0;0
SOME;PEIN 50%;9;1;868
SOME;PEIN 50%;10;0;0
SOME;SIAL 100%;1;0;0
SOME;SIAL 100%;2;0;0
SOME;SIAL 100%;3; ;0
SOME;SIAL 100%;4;0;0
SOME;SIAL 100%;5;0;0
SOME;SIAL 100%;6;0;0
SOME;SIAL 100%;7;0;0
SOME;SIAL 100%;8;0;0
SOME;SIAL 100%;9;0;0
SOME;SIAL 100%;10;0;0
SOME;SIAL 50%;1;1;227
SOME;SIAL 50%;2;1;43
SOME;SIAL 50%;3;1;38
SOME;SIAL 50%;4;1;28
SOME;SIAL 50%;5;1;30
SOME;SIAL 50%;6;1;459
SOME;SIAL 50%;7;1;1048
SOME;SIAL 50%;8;1;565
SOME;SIAL 50%;9;1;655
SOME;SIAL 50%;10;1;860
SOME;SOLY 100%;1;0;0
SOME;SOLY 100%;2;0;0
SOME;SOLY 100%;3;0;0
SOME;SOLY 100%;4;0;0
SOME;SOLY 100%;5;0;0
SOME;SOLY 100%;6;0;0
SOME;SOLY 100%;7;0;0
SOME;SOLY 100%;8;0;0
SOME;SOLY 100%;9;0;0
SOME;SOLY 100%;10;0;0
SOME;SOLY 50%;1;0;0
SOME;SOLY 50%;2;1;255
SOME;SOLY 50%;3;1;355
SOME;SOLY 50%;4;1;252
SOME;SOLY 50%;5;1;350
SOME;SOLY 50%;6;1;633
SOME;SOLY 50%;7;1;581
SOME;SOLY 50%;8;1;454
SOME;SOLY 50%;9;1;805
SOME;SOLY 50%;10;1;686
SOME;BRRA 50%;1;0;0
SOME;BRRA 50%;2;1;200
SOME;BRRA 50%;3;1;169
SOME;BRRA 50%;4;0;0
SOME;BRRA 50%;5;0;0
SOME;BRRA 50%;6;1;184
SOME;BRRA 50%;7;0;0
SOME;BRRA 50%;8;1;83
SOME;BRRA 50%;9;0;0
SOME;BRRA 50%;10;0;0
SOME;BRRA 100%;1;0;0
SOME;BRRA 100%;2;0;0
SOME;BRRA 100%;3;0;0
SOME;BRRA 100%;4;0;0
SOME;BRRA 100%;5;0;0
SOME;BRRA 100%;6;0;0
SOME;BRRA 100%;7;0;0
SOME;BRRA 100%;8;0;0
SOME;BRRA 100%;9;0;0
SOME;BRRA 100%;10;0;0
SOME;COSA 50%;1;1;203
SOME;COSA 50%;2;0;0
SOME;COSA 50%;3;1;384
SOME;COSA 50%;4;1;451
SOME;COSA 50%;5;1;699
SOME;COSA 50%;6;0;0
SOME;COSA 50%;7;0;0
SOME;COSA 50%;8;0;0
SOME;COSA 50%;9;0;0
SOME;COSA 50%;10;0;0
SOME;COSA 100%;1;0;0
SOME;COSA 100%;2;0;0
SOME;COSA 100%;3;0;0
SOME;COSA 100%;4;0;0
SOME;COSA 100%;5;0;0
SOME;COSA 100%;6;0;0
SOME;COSA 100%;7;0;0
SOME;COSA 100%;8;0;0
SOME;COSA 100%;9;0;0
SOME;COSA 100%;10;0;0
SOME;RARA 50%;1;1;922
SOME;RARA 50%;2;1;662
SOME;RARA 50%;3;1;552
SOME;RARA 50%;4;0;0
SOME;RARA 50%;5;1;538
SOME;RARA 50%;6;0;0
SOME;RARA 50%;7;0;0
SOME;RARA 50%;8;0;0
SOME;RARA 50%;9;0;0
SOME;RARA 50%;10;0;0
SOME;ERSA 50%;1;1;583
SOME;ERSA 50%;2;0;0
SOME;ERSA 50%;3;0;0
SOME;ERSA 50%;4;0;0
SOME;ERSA 50%;5;0;0
SOME;ERSA 50%;6;1;787
SOME;ERSA 50%;7;1;385
SOME;ERSA 50%;8;1;0
SOME;ERSA 50%;9;1;520
SOME;ERSA 50%;10;1;1068
SOME;ERSA 100%;1;0;0
SOME;ERSA 100%;2;0;0
SOME;ERSA 100%;3;0;0
SOME;ERSA 100%;4;0;0
SOME;ERSA 100%;5;0;0
SOME;ERSA 100%;6;0;0
SOME;ERSA 100%;7;0;0
SOME;ERSA 100%;8;0;0
SOME;ERSA 100%;9;0;0
SOME;ERSA 100%;10;0;0
SOME;IPAQ 50%;1;0;21
SOME;IPAQ 50%;2;0;499
SOME;IPAQ 50%;3;0;0
SOME;IPAQ 50%;4;0;256
SOME;IPAQ 50%;5;0;312
SOME;IPAQ 50%;6;0;304
SOME;IPAQ 50%;7;0;0
SOME;IPAQ 50%;8;0;553
SOME;IPAQ 50%;9;0;0
SOME;IPAQ 50%;10;0;417
SOME;IPAQ 100%;1;0;0
SOME;IPAQ 100%;2;0;0
SOME;IPAQ 100%;3;0;0
SOME;IPAQ 100%;4;0;0
SOME;IPAQ 100%;5;0;0
SOME;IPAQ 100%;6;0;0
SOME;IPAQ 100%;7;0;0
SOME;IPAQ 100%;8;0;0
SOME;IPAQ 100%;9;0;0
SOME;IPAQ 100%;10;0;0
